38124,ElementalistLevels
38125,ElementalistRecipes
38126,Engineer
38127,EngineerLevels
38128,EngineerRecipes
38129,HeroCollection
38130,Marksman
38131,MarksmanLevels
38132,MarksmanRecipes
38133,Warrior
38134,WarriorLevels
38135,WarriorRecipes
38136,ItemCombinationData
38137,Book of Everlasting Flame
38138,Gold Bar
38139,Golden Skull
38140,Hag's Cauldron
38141,Heavenly Skull
38142,Holy Libram
38143,Infinity Essence
38144,Predator Teeth
38145,Steel Bar
38146,Tainted Soulstone
38147,Unholy Skull
38148,Frost Barrier
38149,Fur Boots
38150,Gothic Shield
38151,Leather Belt
38152,Magic Belt
38153,Spiked Shield
38154,Wizard Robe
38155,Lucky Tuna
38156,Spicy Sausage
38157,Succulent Cheese
38158,Boomslang
38159,Green Snapper
38160,Lava Golem
38161,Mimic
38162,Plague Rat
38163,Rat King
38164,Red Widow
38165,Stone Golem
38166,Vampire Bat
38167,Bloodthorn
38168,Endurance Potion
38169,Health Potion
38170,Large Water Potion
38171,Mana Potion
38172,Poison Potion
38173,Potion of Botulinum
38174,Strong Antivenom
38175,Strong Health Potion
38176,Wrath Potion
38177,Amethyst Blade
38178,Boulder
38179,Brainsquasher
38180,Double-ender
38181,Fine Sword
38182,Flaming Sword
38183,Hooked Dagger
38184,Iron Sword
38185,Lava Boulder
38186,Lava Dagger
38187,Magic Dagger
38188,Mallet
38189,Poison Dagger
38190,Royal Seax
38191,Shovel
38192,Spiked Sickle
38193,Staff of Wisdom
38194,Unholy Sword
38195,Willow Wand
38196,Amethyst Pendant
38197,Ancient Relic
38198,Bite Trap
38199,Bronze Bar
38200,Burning Water
38201,Cauldron
38202,Celestial Teapot
38203,Creepy Doll
38204,Death Essence
38205,Dusty Book
38206,Ethereal Cloak
38207,Frost Emblem
38208,Gloves of Power
38209,Golden Egg
38210,Golden Tail
38211,Harp
38212,Holy Essence
38213,Iron Bar
38214,Life Essence
38215,Lucky Clover
38216,Magic Essence
38217,Mars Flytrap
38218,Pet Collar
38219,Poison Apple
38220,Rune of R'lyeh
38221,Skull
38222,Speed Essence
38223,Treasure Chest
38224,Tusk
38225,Werewolf Paw
38226,Whetstone
38227,Berserker Helmet
38228,Cleansing Crown
38229,Heater Shield
38230,Leather Armor
38231,Leather Boots
38232,Leather Cloak
38233,Man-o-lorian Helmet
38234,Sash
38235,Scalemail
38236,Skull Cap
38237,Traveler's Hat
38238,Wooden Buckler
38239,Armor Pack
38240,Bolstering Bag
38241,Critical Sack
38242,Fanny Pack
38243,Medium Bag
38244,Stamina Sack
38245,Apple
38246,Banana
38247,Cheese
38248,Coconut
38249,Donut
38250,Fish
38251,Fly Agaric
38252,Pitahaya
38253,Spice
38254,Tender Sausage
38255,Watermelon
38256,Bat
38257,Emerald Scarab
38258,Rat
38259,Ginseng Root
38260,Longing Begonia
38261,Night Dahlia
38262,Nightshade
38263,Seeds
38264,Succulent
38265,Wild Rose
38266,Antivenom
38267,Water Potion
38268,Axe of Abraxas
38269,Bloodletter
38270,Broom
38271,Dagger
38272,Frost Cleaver
38273,Lava Rock
38274,Polyphemus' Bane
38275,Rock
38276,Serpent's Tongue
38277,Soulstealer
38278,Throwing Hatchet
38279,Tidal Staff
38280,Torch
38281,Wing Clipper
38282,Wooden Club
38283,Wooden Stick
38284,Wooden Sword
38285,Woodsman's Axe
38286,Ancestral Spirit
38287,Bear Visage
38288,Berserker Potion
38289,Doombringer
38290,Giant's Belt
38291,Ironhowl
38292,Warbringer
38293,Wolfstrike
38294,World's End
38295,Bonesaw
38296,Dark Omen
38297,Forest Spirit
38298,Fury Edge
38299,Fury Fungus
38300,Lost Symbol
38301,Meat Cleaver
38302,Rusty Sword
38303,Shaman's Talisman
38304,Snow Pear
38305,Tomahawk
38306,Ancient Grog
38307,Berserker Sack
38308,Corrupted Shroom
38309,Lost Runeword
38310,Stoneheart Brew
38311,Stonehide Mask
38312,War Drum
38313,Belt of Firethrowing
38314,Chillbane
38315,Cinderstaff
38316,Conflagration Staff
38317,Cryoblaze Staff
38318,Frostbite Wand
38319,Hungry Wand
38320,Mana Shield
38321,Blazing Rod
38322,Critical Focus
38323,Flame Cloak
38324,Frost Tome
38325,Icicle Shard
38326,Magic Orb
38327,Mana Crystal
38328,Mana Strudel
38329,Marshmellow
38330,Searing Wand
38331,Starbloom
38332,Wicked Stick
38333,Fire Vortex
38334,Iceburn Scepter
38335,Mana Stew
38336,Wand of Backdraft
38337,Wildfire Essence
38338,Wizard Hat
38339,Wizard's Pouch
38340,Barbed Spring
38341,Boomer
38342,Cleansomatic
38343,Crowbar
38344,Deathdart Dispenser
38345,Drillbot
38346,Elixir Express 3000
38347,Enhanced Drillbot
38348,Forest Mower
38349,Frost Bolts
38350,Goblin Gizmo
38351,Ice Age Boomer
38352,Infernal Cog
38353,Mana Recycler
38354,Power Vacuum
38355,Regenerating Shield
38356,Runesmith Goniometer
38357,Superior Bolts
38358,Superior Gear
38359,Superior Spring
38360,Welding Torch
38361,Arcane Core
38362,Bolts
38363,Carnage Saw
38364,Clockwork
38365,Elemental Core
38366,Gear
38367,Pliers
38368,Scrap Metal
38369,Screwsmacker
38370,Spanner
38371,Spring
38372,Toolbox
38373,Big Clockwork Bomb
38374,Core Reactor
38375,Edge Calibrator
38376,Parts Satchel
38377,Portable Siege Engine
38378,Potion Mixer
38379,Sprint Bot
38380,Deathshot
38381,Hunter's Bow
38382,Predator Scales
38383,Quiver of Speed
38384,Stalker's Shiv
38385,Wilderness Potion
38386,Arrow Sheath
38387,Corny Corn
38388,Dragonleaf
38389,Eagle Eye Amulet
38390,Hunting Knife
38391,Light Bow
38392,Shadow Armor
38393,Snake Oil
38394,Sniper Scope
38395,Truefire Bracers
38396,Dreadleaf
38397,Final Blow
38398,Infinity Sight
38399,Poison Arrows
38400,Ranger's Satchel
38401,Reptile Stalker
38402,Shadow Cloak
38403,Bolstered Helmet
38404,Champion's Ripper
38405,Errant Lance
38406,Excalibur
38407,Prickly Potion
38408,Unbreakable Wall
38409,Vanguard Belt
38410,Armor Kit
38411,Cactus
38412,Defender's Shield
38413,Fanged Axe
38414,Hooked Blade
38415,Knights Aegis
38416,Knights Sigil
38417,Steadfast Boots
38418,Tournament Lance
38419,Knights Blessing
38420,Piercing Lance
38421,Shield Spikes
38422,Warrior Backpack
38423,Weapons Rack
38424,Winged Thorns
38425,Young Squire
38426,ItemLevelsLocaleData
38427,ItemLevelsCommon
38428,ItemLevelsEpic
38429,ItemLevelsLegendary
38430,ItemLevelsMythic
38431,ItemLevelsRare
38432,ItemLevelsUnique
38433,PetLevelsCommon
38434,PetLevelsEpic
38435,PetLevelsLegendary
38436,PetLevelsMythic
38437,PetLevelsUnique
38438,WeaponLevelsCommon
38439,WeaponLevelsEpic
38440,WeaponLevelsLegendary
38441,WeaponLevelsMythic
38442,WeaponLevelsRare
38443,WeaponLevelsUnique
38444,Accessory
38445,Armor
38446,Bag
38447,Food
38448,Melee Weapon
38449,Part
38450,Pet
38451,Plant
38452,Potion
38453,Ranged Weapon
38454,Rat
38455,RockType
38456,Tool
38457,CardDistributionConfiguration
38458,CommonCard
38459,EpicCard
38460,GauntletCompletionRewardConfig
38461,LegendaryCard
38462,MythicCard
38463,RareCard
38464,UniqueCard
38465,NotificationSettings
38466,OfflineBuildData
38467,QuestSettingsData
38468,RewardData
38469,AppUpdateView
38470,ArenaPanel
38471,ArenaUnlockCelebrationPopup
38472,ChestCelebrationPopup
38473,ChestInfoPopup
38474,CombatPanel
38475,ConfirmationPopup
38476,GameOverviewPopup
38477,GauntletCompletePanel
38478,GenericModalPopup
38479,HeroSelectionPanel
38480,HeroShopPopup
38481,HeroUnlockCelebrationPopup
38482,HowToPlayPopup
38483,IngameRecipes
38484,ItemCardCelebrationPopup
38485,ItemUnlockCelebrationPopup
38486,MenuPanel
38487,NoConnectionPopup
38488,PlayerNamePopup
38489,QuestPopup
38490,RestartPopup
38491,SettingsPopup
38492,ShopPanel
38493,ShopPopup
38494,SpinnerPopup
38495,StatsPopup
38496,Tooltip
38497,WhatsNewPopup
38498,GameFeel
38499,ItemTweaks
